Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Time of Nature and the Nature of Time","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-53725-2","Christophe BoutonPhilippe Huneman","2017","http://link.springer.com/book/10.1007/978-3-319-53725-2","Book"
"Philosophy of Chemistry","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-017-9364-3","Eric ScerriLee McIntyre","2015","http://link.springer.com/book/10.1007/978-94-017-9364-3","Book"
"Going Amiss In Experimental Research","Boston Studies In The Philosophy Of Science","","","","10.1007/978-1-4020-8893-3","Giora HonJutta SchickoreFriedrich Steinle","2009","http://link.springer.com/book/10.1007/978-1-4020-8893-3","Book"
"Tools and Modes of Representation in the Laboratory Sciences","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-015-9737-1","Ursula Klein","2001","http://link.springer.com/book/10.1007/978-94-015-9737-1","Book"
"The Aristotelian Mechanics","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-25925-3","Joyce van Leeuwen","2016","http://link.springer.com/book/10.1007/978-3-319-25925-3","Book"
"Bohmian Mechanics and Quantum Theory: An Appraisal","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8715-0","James T. CushingArthur FineSheldon Goldstein","1996","http://link.springer.com/book/10.1007/978-94-015-8715-0","Book"
"Bridging the Gap: Philosophy, Mathematics, and Physics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-2496-6","Giovanna CorsiMaria Luisa Dalla ChiaraGian Carlo Ghirardi","1993","http://link.springer.com/book/10.1007/978-94-011-2496-6","Book"
"Theoretical Treatment of Large Molecules and Their Interactions","Perspectives in Antisense Science","","","","10.1007/978-3-642-58183-0","Professor Dr. Zvonimir B. Maksić","1991","http://link.springer.com/book/10.1007/978-3-642-58183-0","Book"
"The Concept of Scientific Law in the Philosophy of Science and Epistemology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3265-9","Igor Hanzel","1999","http://link.springer.com/book/10.1007/978-94-017-3265-9","Book"
"Romanian Studies in Philosophy of Science","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-16655-1","Ilie PȃrvuGabriel SanduIulian D. Toader","2015","http://link.springer.com/book/10.1007/978-3-319-16655-1","Book"
"Science, History and Social Activism","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2956-7","Garland E. AllenRoy M. MacLeod","2001","http://link.springer.com/book/10.1007/978-94-017-2956-7","Book"
"Philosophical Explorations of the Legacy of Alan Turing","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-53280-6","Juliet FloydAlisa Bokulich","2017","http://link.springer.com/book/10.1007/978-3-319-53280-6","Book"
"Characterizing the Robustness of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-007-2759-5","Léna SolerEmiliano TrizioThomas NicklesWilliam Wimsatt","2012","http://link.springer.com/book/10.1007/978-94-007-2759-5","Book"
"Hermann Günther Graßmann (1809–1877): Visionary Mathematician, Scientist and Neohumanist Scholar","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8753-2","Gert Schubring","1996","http://link.springer.com/book/10.1007/978-94-015-8753-2","Book"
"The Cultural Context of Medieval Learning","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1781-7","John Emery MurdochEdith Dudley Sylla","1975","http://link.springer.com/book/10.1007/978-94-010-1781-7","Book"
"Knowledge, Language and Logic: Questions for Quine","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3933-5","Alex OrensteinPetr Kotatko","2000","http://link.springer.com/book/10.1007/978-94-011-3933-5","Book"
"The Founders of Western Thought – The Presocratics","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-9791-1","Constantine J. Vamvacas","2009","http://link.springer.com/book/10.1007/978-1-4020-9791-1","Book"
"Potentiality, Entanglement and Passion-at-a-Distance","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2732-7","Robert S. CohenMichael HorneJohn Stachel","1997","http://link.springer.com/book/10.1007/978-94-017-2732-7","Book"
"A Pragmatist Orientation for the Social Sciences in Climate Policy","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-43281-6","Martin Kowarsch","2016","http://link.springer.com/book/10.1007/978-3-319-43281-6","Book"
"The History of Physics in Cuba","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-017-8041-4","Angelo BaraccaJürgen RennHelge Wendt","2014","http://link.springer.com/book/10.1007/978-94-017-8041-4","Book"
"The Reception of the Galilean Science of Motion in Seventeenth-Century Europe","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-2455-9","Carla Rita PalmerinoJ. M. M. H. Thijssen","2004","http://link.springer.com/book/10.1007/978-1-4020-2455-9","Book"
"The Reality of the Unobservable","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-9391-5","Evandro AgazziMassimo Pauri","2000","http://link.springer.com/book/10.1007/978-94-015-9391-5","Book"
"Ernst Mach’s Vienna 1895–1930","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-9690-9","J. BlackmoreR. ItagakiS. Tanaka","2001","http://link.springer.com/book/10.1007/978-94-015-9690-9","Book"
"What was Mechanical about Mechanics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3672-5","J. Christiaan Boudri","2002","http://link.springer.com/book/10.1007/978-94-017-3672-5","Book"
"Travels of Learning","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3584-1","Ana SimõesAna CarneiroMaria Paula Diogo","2003","http://link.springer.com/book/10.1007/978-94-017-3584-1","Book"
"Analytical Mechanics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8903-1","Auguste BoissonnadeVictor N. Vagliente","1997","http://link.springer.com/book/10.1007/978-94-015-8903-1","Book"
"E.A. Burtt, Historian and Philosopher","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-1331-3","Diane Davis Villemaire","2002","http://link.springer.com/book/10.1007/978-94-017-1331-3","Book"
"The Neurological Emergence of Epilepsy","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-06293-8","Vasia Lekka","2015","http://link.springer.com/book/10.1007/978-3-319-06293-8","Book"
"Incommensurability and Related Matters","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-9680-0","Paul Hoyningen-HueneHoward Sankey","2001","http://link.springer.com/book/10.1007/978-94-015-9680-0","Book"
"The Social and Economic Roots of the Scientific Revolution","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-9604-4","Gideon FreudenthalPeter McLaughlin","2009","http://link.springer.com/book/10.1007/978-1-4020-9604-4","Book"
"Objectivity in Science","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-14349-1","Flavia PadovaniAlan RichardsonJonathan Y. Tsou","2015","http://link.springer.com/book/10.1007/978-3-319-14349-1","Book"
"Mapping the Future of Biology","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-9636-5","Anouk BarberousseMichel MorangeThomas Pradeu","2009","http://link.springer.com/book/10.1007/978-1-4020-9636-5","Book"
"Felix Kaufmann's Theory and Method in the Social Sciences","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-02845-3","Robert S. CohenIngeborg K. Helling","2014","http://link.springer.com/book/10.1007/978-3-319-02845-3","Book"
"Kuhn’s Structure of Scientific Revolutions - 50 Years On","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-13383-6","William J. DevlinAlisa Bokulich","2015","http://link.springer.com/book/10.1007/978-3-319-13383-6","Book"
"Scientific Sources and Teaching Contexts Throughout History: Problems and Perspectives","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-007-5122-4","Alain BernardChristine Proust","2014","http://link.springer.com/book/10.1007/978-94-007-5122-4","Book"
"The Institution of Science and the Science of Institutions","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-007-7407-0","Marcel Herbst","2014","http://link.springer.com/book/10.1007/978-94-007-7407-0","Book"
"Fact, Faith and Fiction in the Development of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-9295-6","R. Hooykaas","1999","http://link.springer.com/book/10.1007/978-94-015-9295-6","Book"
